word,Freq
최민수,19
유희열,40
이민정,75
하연수,38
이영애,164
신세경,47
AOA,144
박선영,19
박보검,80
정국,23
제이홉,23
최민식,42
윤두준,19
사나,26
송혜교,112
하성운,20
박지성,67
류승룡,93
포미닛,37
김수미,23
배성재,31
장혁,50
김혜진,21
온유,23
찬미,21
송해,37
김영광,23
송윤아,41
찬열,50
이나영,231
김혜수,95
타이거JK,22
싸이,119
민아,69
설리,38
장근석,38
김지원,39
이성경,41
이영표,29
택연,64
정유미,36
이진욱,32
블락비,34
유인촌,20
손연재,98
박지훈,24
오하영,31
고메즈,21
설현,133
이수경,51
김소혜,30
이민기,21
브라운,22
한지민,58
강동원,69
정상훈,45
한혜진,67
슈퍼주니어,76
박초롱,31
닉쿤,56
수호,52
이현우,34
김연아,264
배진영,20
쯔위,28
성준,21
모모,26
김도연,29
여진구,25
박태환,73
재중,24
채영,26
개리,21
최유정,30
소진,44
안정환,47
김수정,19
현아,34
김수로,28
라이관린,18
